company_size,product_category,product_subcategory,NAICS,NAICS_description,brand_type,UPCs,Formulas,Units,5th Percentile,Mean,95th Percentile
Small Companies,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Branded,498,458,8550907,4212958.8,8027915.6,13896200.9
Medium Companies,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Branded,1397,1116,99130598,113956992,245934817.2,449965062.00000006
Large Companies,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Branded,94,78,7559832,19172189.400000002,41066001.6,74130696.89999999
Total,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Branded,1989,1652,115241337,137342140.2,295028734.40000004,537991959.8
Small Companies,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Private,0,0,0,0,0,0
Medium Companies,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Private,277,229,44488996,23383648,50465119.3,92331540.50000001
Large Companies,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Private,0,0,0,0,0,0
Total,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Private,277,229,44488996,23383648,50465119.3,92331540.50000001
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Branded,87,87,1976854,800278.2,1524953.4,2639671.35
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Branded,281,232,170800224,23689984,51126234.4,93541124
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Branded,109,67,815650141,16468419.1,35274642.4,63676367.85000001
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Branded,477,386,988427219,40958681.3,87925830.2,159857163.20000002
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Private,0,0,0,0,0,0
