Food,primary_loss,retail_loss,avoidable_consumer_loss,primary_weight,retail_weight,consumer_weight
Dry buttermilk,0,1,41,0.33703538752269496,0.33703538752269496,0.333665033647468
Half and half,79.5,12,12,4.016697418177307,0.8234229707263476,0.7246122142391859
Half and half,79.5,12,12,4.016697418177307,0.8234229707263476,0.7246122142391859
Eggnog,67.2,12,51,0.426203700563002,0.13979481378466463,0.12301943613050487
Eggnog,67.2,12,51,0.426203700563002,0.13979481378466463,0.12301943613050487
Butter,0,7,35,5.503056815696572,5.503056815696572,5.117842838597811
Margarine,0,7,35,3.5377671461938958,3.5377671461938958,3.2901234459603232
Lard,0,50,35,1.5487891682060433,1.5487891682060433,0.7743945841030216
Edible beef tallow,0,50,35,3.2847130704203913,3.2847130704203913,1.6423565352101956
Shortening,0,21,35,15.32274137040982,15.32274137040982,12.104965682623758
Salad and cooking oils,0,21,15,53.566048505416084,53.566048505416084,42.31717831927871
Other edible fats and oils,0,5,25,1.6725362996606448,1.6725362996606448,1.5889094846776126
Half and half,0,12,12,4.016697418177307,4.016697418177307,3.53469372799603
Half and half,0,12,12,4.016697418177307,4.016697418177307,3.53469372799603
Light cream,0,12,12,8.22519846221933,8.22519846221933,7.238174646753011
Heavy cream,0,12,12,2.793462340564846,2.793462340564846,2.4582468596970646
Sour cream,0,12,8,4.076645057710653,4.076645057710653,3.587447650785375
Cream cheese,0,12,13,2.39575788355925,2.39575788355925,2.10826693753214
Eggnog,32.8,12,51,0.426203700563002,0.28640888677833737,0.2520398203649369
Eggnog,32.8,12,51,0.426203700563002,0.28640888677833737,0.2520398203649369
Fresh oranges,3,11.6,36,10.465769123347073,10.151796049646661,8.974187707887648
Fresh tangerines,5,20.4,52,4.1805344108336415,3.9715076902919595,3.1613201214724
Fresh grapefruit,3,12.8,20,2.3703926549671728,2.2992808753181575,2.004972923277433
Fresh lemons,4,7,44,3.9420681131745745,3.7843853886475913,3.51947841144226
Fresh limes,5,8.31746274505006,44,2.567053259661657,2.4387005966785744,2.2358625830865204
Fresh apples,4,8.6,20,16.138242194411095,15.492712506634652,14.160339231064071
Fresh apricots,9,35.1,10,0.1026249779196519,0.09338872990688324,0.06060928570956722
Fresh avocados,6,9.3,32,5.653869168857442,5.314637018725995,4.820375775984478
Fresh bananas,0,8,20,26.982613216505726,26.982613216505726,24.824004159185268
Fresh blueberries,8,5.246767404572406,8,1.3280759621237783,1.221829885153876,1.157723313000298
Fresh cantaloupe,8,12.2,43,7.514728999602638,6.913550679634427,6.070097496719027
Fresh cherries,8,3.9,51,1.500918490879212,1.380845011608875,1.326992056156129
Fresh cranberries,4,6,26,0.06666752825217298,0.06400082712208606,0.0601607774947609
Fresh grapes,9,7.6,33,7.628763862547577,6.942175114918295,6.414569806184504
Fresh honeydew,8,22.8,43,1.4807150380305314,1.362257834988089,1.0516630486108047
Fresh kiwi,9,12.7,45,0.5448137302392516,0.495780494517719,0.4328163717139687
Fresh mangoes,5,14.465165583510988,13,2.4883355411215895,2.36391876406551,2.0219740005837474
Fresh papaya,5,54.8906790560543,20,0.9663375872510771,0.9180207078885232,0.4141129074533161
Fresh peaches,5,11.9105448778321,42,3.8616699171006896,3.668586421245655,3.231637789161137
Fresh pears,5,17.5789486398618,20,2.7808710323097685,2.64182748069428,2.1774219847092775
Fresh pineapple,5,14.62911588984,37,6.418809799273194,6.097869309309534,5.205804941239656
Fresh plums,5,17.3165544901247,27,0.62482859804213,0.5935871681400234,0.49079832272266816
Fresh raspberries,8,9.7539796373462,20,0.3238539951770237,0.2979456755628618,0.26888411503810666
Fresh strawberries,8,9.7539796373462,35,7.968658276285508,7.331165614182667,6.616085212995163
Fresh watermelon,10,16.7773349312613,13,13.882465535990598,12.494218982391537,10.398022016670481
Canned apples,20,6,8,3.1736654825982336,2.538932386078587,2.3865964429138717
Canned apricots,NA,6,27,0.10925501966569952,0.07587154143451355,0.07131924894844274
Canned sweet cherries,NA,6,32,0.013650155181544563,0.01142272400129252,0.010737360561214968
Canned tart cherries,NA,6,32,0,0,0
Canned peaches,16.666666666666664,6,9,2.6398633314736113,2.199886109561343,2.0678929429876622
Canned pears,0,6,9,2.050472695841651,2.050472695841651,1.927444334091152
Canned pineapple,41.48624926857812,6,9,3.946152780758181,2.309042001613915,2.17049948151708
Canned plums,33.774834437086085,6,26,0.008081852373910502,0.005352220115172519,0.0050310869082621675
