company_size,product_category,product_subcategory,NAICS,NAICS_description,reformulation_activity,cost_type,5th Percentile,Mean,95th Percentile
Medium Companies,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Analytical tests,Per Formula Costs,0,0,0
Large Companies,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Analytical tests,Total Costs,0,0,0
Large Companies,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Analytical tests,Per Formula Costs,0,0,0
Total,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Analytical tests,Total Costs,0,0,0
Total,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Analytical tests,Per Formula Costs,0,0,0
Small Companies,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Total Costs,0,0,0
Small Companies,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Per Formula Costs,0,0,0
Medium Companies,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Total Costs,6354250.75,8049825,9946005.999999998
Medium Companies,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Per Formula Costs,4724.3499999999995,5985,7394.799999999999
Large Companies,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Total Costs,1273630.7999999998,1935195.5999999999,2450338.8
Large Companies,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Per Formula Costs,16328.599999999997,24810.199999999997,31414.6
Total,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Total Costs,7627881.549999999,9985020.6,12396344.799999997
Total,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Per Formula Costs,4055.226767676767,5308.357575757575,6590.294949494948
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,1. Determine response to regulation,Total Costs,113813.39999999998,168954,248802.6
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,1. Determine response to regulation,Per Formula Costs,1308.1999999999998,1942,2859.8
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,1. Determine response to regulation,Total Costs,1007370,2461025,4784577
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,1. Determine response to regulation,Per Formula Costs,3510,8575,16671
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,1. Determine response to regulation,Total Costs,409169,954482,1805784
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,1. Determine response to regulation,Per Formula Costs,6107,14246,26952
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,1. Determine response to regulation,Total Costs,1530352.4,3584461,6839163.6
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,1. Determine response to regulation,Per Formula Costs,3470.186848072562,8128.02947845805,15508.307482993196
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,2. Project management,Total Costs,52809,129369,251343
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,2. Project management,Per Formula Costs,607,1487,2889
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,2. Project management,Total Costs,2671109,6457787,12482778
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,2. Project management,Per Formula Costs,9307,22501,43494
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,2. Project management,Total Costs,1313334,3014665,5657011
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,2. Project management,Per Formula Costs,19602,44995,84433
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,2. Project management,Total Costs,4037252,9601821,18391132
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,2. Project management,Per Formula Costs,9154.766439909297,21772.836734693876,41703.24716553288
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,3. Product reformulation/process modification,Total Costs,190590.9,423168,782678.1
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,3. Product reformulation/process modification,Per Formula Costs,2190.7,4864,8996.3
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,3. Product reformulation/process modification,Total Costs,4950089.9,10938144,20185083.1
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,3. Product reformulation/process modification,Per Formula Costs,17247.7,38112,70331.3
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,3. Product reformulation/process modification,Total Costs,2802656.9,6136195,11257293.1
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,3. Product reformulation/process modification,Per Formula Costs,41830.7,91585,168019.3
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,3. Product reformulation/process modification,Total Costs,7943337.7,17497507,32225054.300000004
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,3. Product reformulation/process modification,Per Formula Costs,18012.103628117915,39676.88662131519,73072.68548752836
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,4. Packaging assessment,Total Costs,24681.899999999998,52983,99119.09999999999
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,4. Packaging assessment,Per Formula Costs,283.7,609,1139.3
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,4. Packaging assessment,Total Costs,571904.9,1295231,2418635.0999999996
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,4. Packaging assessment,Per Formula Costs,1992.7,4513,8427.3
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,4. Packaging assessment,Total Costs,285265.89999999997,626651,1144313.0999999999
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,4. Packaging assessment,Per Formula Costs,4257.7,9353,17079.3
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,4. Packaging assessment,Total Costs,881852.7,1974865,3662067.3
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,4. Packaging assessment,Per Formula Costs,1999.6659863945576,4478.1519274376415,8304.007482993196
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,5. Packaging development,Total Costs,878.7000000000002,2235.9,4484.85
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,5. Packaging development,Per Formula Costs,10.100000000000001,25.7,51.550000000000004
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,5. Packaging development,Total Costs,151349.45,342161.4,637714
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,5. Packaging development,Per Formula Costs,527.35,1192.2,2222
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,5. Packaging development,Total Costs,81961.1,180096,330199.45
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,5. Packaging development,Per Formula Costs,1223.3000000000002,2688,4928.35
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,5. Packaging development,Total Costs,234189.25,524493.3,972398.3
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,5. Packaging development,Per Formula Costs,531.0413832199547,1189.327210884354,2204.984807256236
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,6. Product and package performance testing,Total Costs,261513.29999999996,414250.5,632846.7000000001
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,6. Product and package performance testing,Per Formula Costs,3005.8999999999996,4761.5,7274.1
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,6. Product and package performance testing,Total Costs,4853141.300000001,10414799.5,18881758.700000003
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,6. Product and package performance testing,Per Formula Costs,16909.9,36288.5,65790.1
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,6. Product and package performance testing,Total Costs,2412871,5368442,9811547
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,6. Product and package performance testing,Per Formula Costs,36013,80126,146441
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,6. Product and package performance testing,Total Costs,7527525.6,16197492,29326152.4
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,6. Product and package performance testing,Per Formula Costs,17069.219047619048,36729.00680272109,66499.21179138322
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,7. Production scale-up testing,Total Costs,136764,289710,536268
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,7. Production scale-up testing,Per Formula Costs,1572,3330,6164
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,7. Production scale-up testing,Total Costs,7635348,16455432,30115771
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,7. Production scale-up testing,Per Formula Costs,26604,57336,104933
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,7. Production scale-up testing,Total Costs,4313929,9169620,16632616
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,7. Production scale-up testing,Per Formula Costs,64387,136860,248248
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,7. Production scale-up testing,Total Costs,12086041,25914762,47284655
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,7. Production scale-up testing,Per Formula Costs,27405.98866213152,58763.63265306123,107221.43990929706
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,8. Recordkeeping,Total Costs,19227,44283,84129
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,8. Recordkeeping,Per Formula Costs,221,509,967
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,8. Recordkeeping,Total Costs,6109943,13164403,24088197
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,8. Recordkeeping,Per Formula Costs,21289,45869,83931
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,8. Recordkeeping,Total Costs,3755216,8162208,14932826
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,8. Recordkeeping,Per Formula Costs,56048,121824,222878
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,8. Recordkeeping,Total Costs,9884386,21370894,39105152
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,8. Recordkeeping,Per Formula Costs,22413.573696145126,48460.077097505666,88673.81405895692
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Analytical tests,Total Costs,0,0,0
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Analytical tests,Per Formula Costs,0,0,0
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Analytical tests,Total Costs,0,0,0
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Analytical tests,Per Formula Costs,0,0,0
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Analytical tests,Total Costs,0,0,0
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Analytical tests,Per Formula Costs,0,0,0
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Analytical tests,Total Costs,0,0,0
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Analytical tests,Per Formula Costs,0,0,0
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Total Costs,0,0,0
Small Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Per Formula Costs,0,0,0
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Total Costs,1355888.45,1717695,2122307.5999999996
Medium Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Per Formula Costs,4724.3499999999995,5985,7394.799999999999
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Total Costs,1094016.2,1662283.4,2104778.1999999997
Large Companies,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Per Formula Costs,16328.599999999999,24810.199999999997,31414.599999999995
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Total Costs,2449904.65,3379978.4,4227085.8
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Per Formula Costs,5555.339342403628,7664.350113378685,9585.228571428572
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,1. Determine response to regulation,Total Costs,2315513.9999999995,3437340,5061846
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,1. Determine response to regulation,Per Formula Costs,1308.1999999999998,1942,2859.8
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,1. Determine response to regulation,Total Costs,19859580,48517350,94324518
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,1. Determine response to regulation,Per Formula Costs,3510,8575,16671
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,1. Determine response to regulation,Total Costs,3181747,7422166,14041992
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,1. Determine response to regulation,Per Formula Costs,6107,14246,26952
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,1. Determine response to regulation,Total Costs,25356841,59376856,113428356
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,1. Determine response to regulation,Per Formula Costs,3189.940998867782,7469.726506478803,14269.51264309976
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,2. Project management,Total Costs,1074390,2631990,5113530
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,2. Project management,Per Formula Costs,607,1487,2889
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,2. Project management,Total Costs,52659006,127310658,246089052
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,2. Project management,Per Formula Costs,9307,22501,43494
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,2. Project management,Total Costs,10212642,23442395,43989593
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,2. Project management,Per Formula Costs,19602,44995,84433
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,2. Project management,Total Costs,63946038,153385043,295192175
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,2. Project management,Per Formula Costs,8044.538684111209,19296.143288463958,37135.762360045286
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,3. Product reformulation/process modification,Total Costs,3877538.9999999995,8609280,15923450.999999998
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,3. Product reformulation/process modification,Per Formula Costs,2190.7,4864,8996.3
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,3. Product reformulation/process modification,Total Costs,97587486.60000001,215637696,397934495.40000004
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,3. Product reformulation/process modification,Per Formula Costs,17247.7,38112,70331.3
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,3. Product reformulation/process modification,Total Costs,21793794.7,47715785,87538055.3
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,3. Product reformulation/process modification,Per Formula Costs,41830.7,91585,168019.3
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,3. Product reformulation/process modification,Total Costs,123258820.30000001,271962761,501396001.70000005
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,3. Product reformulation/process modification,Per Formula Costs,15506.204591772552,34213.455906403324,63076.61362435527
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,4. Packaging assessment,Total Costs,502149,1077930,2016561
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,4. Packaging assessment,Per Formula Costs,283.7,609,1139.3
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,4. Packaging assessment,Total Costs,11274696.600000001,25534554,47681663.39999999
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,4. Packaging assessment,Per Formula Costs,1992.7,4513,8427.3
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,4. Packaging assessment,Total Costs,2218261.6999999997,4872913,8898315.299999999
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,4. Packaging assessment,Per Formula Costs,4257.7,9353,17079.3
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,4. Packaging assessment,Total Costs,13995107.3,31485397,58596539.69999999
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,4. Packaging assessment,Per Formula Costs,1760.612316014593,3960.9255252232983,7371.561164926405
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,5. Packaging development,Total Costs,17877,45489,91243.5
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,5. Packaging development,Per Formula Costs,10.1,25.7,51.55
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,5. Packaging development,Total Costs,2983746.3000000003,6745467.600000001,12572076.000000002
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,5. Packaging development,Per Formula Costs,527.35,1192.2,2222
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,5. Packaging development,Total Costs,637339.3,1400448,2567670.35
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,5. Packaging development,Per Formula Costs,1223.3000000000002,2688,4928.35
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,5. Packaging development,Total Costs,3638962.6,8191404.600000001,15230989.850000001
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,5. Packaging development,Per Formula Costs,457.78872814190464,1030.494980500692,1916.088797332998
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,6. Product and package performance testing,Total Costs,5320442.999999999,8427855,12875157
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,6. Product and package performance testing,Per Formula Costs,3005.8999999999996,4761.5,7274.1
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,6. Product and package performance testing,Total Costs,95676214.20000002,205320333,372240385.8000001
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,6. Product and package performance testing,Per Formula Costs,16909.9,36288.5,65790.1
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,6. Product and package performance testing,Total Costs,18762773,41745646,76295761
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,6. Product and package performance testing,Per Formula Costs,36013,80126,146441
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,6. Product and package performance testing,Total Costs,119759430.20000002,255493834,461411303.8000001
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,6. Product and package performance testing,Per Formula Costs,15065.974361554914,32141.63215498805,58046.45915209461
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,7. Production scale-up testing,Total Costs,2782440,5894100,10910280
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,7. Production scale-up testing,Per Formula Costs,1572,3330,6164
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,7. Production scale-up testing,Total Costs,150525432,324407088,593710914
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,7. Production scale-up testing,Per Formula Costs,26604,57336,104933
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,7. Production scale-up testing,Total Costs,33545627,71304060,129337208
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,7. Production scale-up testing,Per Formula Costs,64387,136860,248248
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,7. Production scale-up testing,Total Costs,186853499,401605248,733958402
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,7. Production scale-up testing,Per Formula Costs,23506.541577556924,50522.738457667634,92333.42583972827
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,8. Recordkeeping,Total Costs,391170,900930,1711590
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,8. Recordkeeping,Per Formula Costs,221,509,967
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,8. Recordkeeping,Total Costs,120453162,259526802,474881598
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,8. Recordkeeping,Per Formula Costs,21289,45869,83931
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,8. Recordkeeping,Total Costs,29201008,63470304,116119438
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,8. Recordkeeping,Per Formula Costs,56048,121824,222878
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,8. Recordkeeping,Total Costs,150045340,323898036,592712626
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,8. Recordkeeping,Per Formula Costs,18876.002012831803,40747.016731664364,74564.42646873821
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Analytical tests,Total Costs,0,0,0
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Analytical tests,Per Formula Costs,0,0,0
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Analytical tests,Total Costs,0,0,0
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Analytical tests,Per Formula Costs,0,0,0
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Analytical tests,Total Costs,0,0,0
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Analytical tests,Per Formula Costs,0,0,0
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Analytical tests,Total Costs,0,0,0
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Analytical tests,Per Formula Costs,0,0,0
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Total Costs,0,0,0
Small Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Per Formula Costs,0,0,0
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Total Costs,26730372.299999997,33863130,41839778.4
Medium Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Per Formula Costs,4724.3499999999995,5985,7394.799999999999
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Total Costs,8507200.6,12926114.2,16367006.6
Large Companies,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Per Formula Costs,16328.599999999999,24810.199999999997,31414.6
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,Consumer tests,Total Costs,35237572.9,46789244.2,58206784.99999999
