NAICS,NAICS description,Size class,No. firms,No. establishments,No. employees,Total payroll,Total receipts
424420,Packaged Frozen Food Merchant Wholesalers,20 to 99,435,477,17070,794403,17801037
424420,Packaged Frozen Food Merchant Wholesalers,100 to 499,112,152,13462,712101,13658031
424420,Packaged Frozen Food Merchant Wholesalers,more than 500,81,547,33877,1830106,46323737
424420,Packaged Frozen Food Merchant Wholesalers,total,2839,3403,74827,3892537,93428295
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,fewer than 20,1303,1316,6226,282589,4966774
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,20 to 99,239,282,9884,469823,11616304
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,100 to 499,64,150,7275,363133,6602191
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,more than 500,49,395,20968,1312204,38254271
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,total,1655,2143,44353,2427749,61439540
424440,Poultry and Poultry Product Merchant Wholesalers,fewer than 20,324,337,1721,97303,3012755
424440,Poultry and Poultry Product Merchant Wholesalers,20 to 99,94,106,3625,141510,3226267
424440,Poultry and Poultry Product Merchant Wholesalers,100 to 499,22,40,2819,113288,2006694
424440,Poultry and Poultry Product Merchant Wholesalers,more than 500,13,30,2037,66657,3786318
424440,Poultry and Poultry Product Merchant Wholesalers,total,453,513,10202,418758,12032034
424450,Confectionery Merchant Wholesalers,fewer than 20,1550,1564,5700,229945,4068688
424450,Confectionery Merchant Wholesalers,20 to 99,182,216,6066,298696,4892189
424450,Confectionery Merchant Wholesalers,100 to 499,47,104,4905,232866,3097393
424450,Confectionery Merchant Wholesalers,more than 500,33,272,36868,2153501,32139317
424450,Confectionery Merchant Wholesalers,total,1812,2156,53539,2915008,44197587
424460,Fish and Seafood Merchant Wholesalers,fewer than 20,1582,1596,6686,281402,5790579
424460,Fish and Seafood Merchant Wholesalers,20 to 99,229,260,8377,349116,5388692
424460,Fish and Seafood Merchant Wholesalers,100 to 499,28,51,2613,140668,1630085
424460,Fish and Seafood Merchant Wholesalers,more than 500,15,47,2354,95993,1582774
424460,Fish and Seafood Merchant Wholesalers,total,1854,1954,20030,867179,14392130
424470,Meat and Meat Product Merchant Wholesalers,fewer than 20,1701,1704,8760,341238,7115418
424470,Meat and Meat Product Merchant Wholesalers,20 to 99,342,357,12587,546236,11255152
424470,Meat and Meat Product Merchant Wholesalers,100 to 499,74,117,10354,498960,11289146
424470,Meat and Meat Product Merchant Wholesalers,more than 500,45,227,13115,650547,23040305
424470,Meat and Meat Product Merchant Wholesalers,total,2162,2405,44816,2036981,52700021
424480,Fresh Fruit and Vegetable Merchant Wholesalers,fewer than 20,3377,3414,16907,818646,17276007
424480,Fresh Fruit and Vegetable Merchant Wholesalers,20 to 99,782,883,31279,1349686,21103473
424480,Fresh Fruit and Vegetable Merchant Wholesalers,100 to 499,203,364,34132,1505729,20100060
424480,Fresh Fruit and Vegetable Merchant Wholesalers,more than 500,43,193,19536,828345,15282164
424480,Fresh Fruit and Vegetable Merchant Wholesalers,total,4405,4854,101854,4502406,73761704
424490,Other Grocery and Related Products Merchant Wholesalers,fewer than 20,8233,8289,31865,1370407,21829092
424490,Other Grocery and Related Products Merchant Wholesalers,20 to 99,1072,1310,40096,1882193,23889768
424490,Other Grocery and Related Products Merchant Wholesalers,100 to 499,306,686,34490,1676044,22382836
424490,Other Grocery and Related Products Merchant Wholesalers,more than 500,176,3414,163507,8890101,210213121
424490,Other Grocery and Related Products Merchant Wholesalers,total,9787,13699,269958,13818745,278314817
424510,Grain and Field Bean Merchant Wholesalers,fewer than 20,1663,1815,10329,486117,23091814
424510,Grain and Field Bean Merchant Wholesalers,20 to 99,426,1082,13801,697619,31939520
424510,Grain and Field Bean Merchant Wholesalers,100 to 499,138,800,9818,558533,39453518
424510,Grain and Field Bean Merchant Wholesalers,more than 500,44,1064,15496,951953,132186302
424510,Grain and Field Bean Merchant Wholesalers,total,2271,4761,49444,2694222,226671154
424520,Livestock Merchant Wholesalers,fewer than 20,571,575,2510,67726,5010191
424520,Livestock Merchant Wholesalers,20 to 99,86,100,2769,45131,2025076
424520,Livestock Merchant Wholesalers,100 to 499,10,89,836,24623,3126840
424520,Livestock Merchant Wholesalers,more than 500,7,23,0,0,0
424520,Livestock Merchant Wholesalers,total,674,787,6567,168105,10403204
424590,Other Farm Product Raw Material Merchant Wholesalers,fewer than 20,517,524,2078,130859,5049872
424590,Other Farm Product Raw Material Merchant Wholesalers,20 to 99,52,66,1549,69316,2302484
424590,Other Farm Product Raw Material Merchant Wholesalers,100 to 499,21,41,1338,68311,2196484
424590,Other Farm Product Raw Material Merchant Wholesalers,more than 500,11,19,419,45490,3066644
424590,Other Farm Product Raw Material Merchant Wholesalers,total,601,650,5384,313976,12615484
424810,Beer and Ale Merchant Wholesalers,fewer than 20,689,702,3743,163256,1555644
424810,Beer and Ale Merchant Wholesalers,20 to 99,526,588,25448,1241265,11984125
424810,Beer and Ale Merchant Wholesalers,100 to 499,278,465,51877,2548654,25803709
424810,Beer and Ale Merchant Wholesalers,more than 500,31,179,25622,1409962,18666559
424810,Beer and Ale Merchant Wholesalers,total,1524,1934,106690,5363137,58010037
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,fewer than 20,1617,1638,6752,350874,4100121
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,20 to 99,230,275,9029,608055,6149610
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,100 to 499,88,195,13574,995012,15173828
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,more than 500,43,381,47625,3395066,50746303
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,total,1978,2489,76980,5349007,76169862
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,fewer than 20,10153,10203,34395,1402911,15299374
