sector_desc_drc,category,impact
111300/fresh fruits and tree nuts/us,resource use/watr/m3,0.47692064627289144
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us",impact potential/acid/kg so2 eq,0.002256038501152623
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us",resource use/enrg/mj,7.139817391226252
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us",impact potential/etox/ctue,0.11157642275804194
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us",impact potential/eutr/kg n eq,5.619362334414377e-4
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us",impact potential/gcc/kg co2 eq,1.1527225048106429
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us",chemical releases/haps/kg,1.0738314723140895e-4
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us",impact potential/hc/ctuh,3.786538917582551e-10
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us",impact potential/hnc/ctuh,1.1838530904079309e-9
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us",impact potential/hrsp/kg pm2.5 eq,3.2147068887390846e-4
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us",impact potential/htox/ctuh,1.5633061062081006e-9
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us",economic & social/jobs/jobs,1.2085127491660226e-5
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us",resource use/land/m2*yr,1.3153147345191105
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us",chemical releases/metl/kg,2.4394983368480754e-7
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us",resource use/mine/kg,0.16974254312695344
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us",resource use/nren/mj,6.831578370402092
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us",impact potential/ozon/kg cfc11 eq,8.413742237127518e-8
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us",chemical releases/pest/kg,3.656124740803463e-6
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us",resource use/ren/mj,0.3082390208241605
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us",impact potential/smog/kg o3 eq,0.0647547646534333
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us",economic & social/vadd/$,1.0549731682633485
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us",resource use/watr/m3,0.06861744871942262
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us",impact potential/acid/kg so2 eq,0.007731529010305026
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us",resource use/enrg/mj,7.0481982241899255
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us",impact potential/etox/ctue,24.232258727307464
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us",impact potential/eutr/kg n eq,0.006906399123292359
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us",impact potential/gcc/kg co2 eq,1.5259930233231962
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us",chemical releases/haps/kg,2.7828598674373037e-4
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us",impact potential/hc/ctuh,1.305567093190482e-9
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us",impact potential/hnc/ctuh,6.0753859104435634e-9
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us",impact potential/hrsp/kg pm2.5 eq,0.01689011296236003
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us",impact potential/htox/ctuh,7.382596511222567e-9
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us",economic & social/jobs/jobs,9.565655664641332e-6
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us",resource use/land/m2*yr,16.998093828417193
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us",chemical releases/metl/kg,3.2797059329084324e-7
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us",resource use/mine/kg,0.3092861779465956
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us",resource use/nren/mj,6.613590509526536
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us",impact potential/ozon/kg cfc11 eq,1.5822459689160074e-7
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us",chemical releases/pest/kg,3.478203114365642e-4
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us",resource use/ren/mj,0.4346077146633899
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us",impact potential/smog/kg o3 eq,0.06708721141774102
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us",economic & social/vadd/$,1.013051654782013
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us",resource use/watr/m3,3.6777898396380864
112120/dairies/us,impact potential/acid/kg so2 eq,0.025809905135558486
112120/dairies/us,resource use/enrg/mj,8.6123355956744
112120/dairies/us,impact potential/etox/ctue,3.182742702197796
112120/dairies/us,impact potential/eutr/kg n eq,0.0074248742050278
112120/dairies/us,impact potential/gcc/kg co2 eq,3.5277861886906923
112120/dairies/us,chemical releases/haps/kg,1.368487798111287e-4
112120/dairies/us,impact potential/hc/ctuh,3.436190445992283e-10
112120/dairies/us,impact potential/hnc/ctuh,1.1376348003068557e-9
112120/dairies/us,impact potential/hrsp/kg pm2.5 eq,0.002865484295942728
112120/dairies/us,impact potential/htox/ctuh,1.4818858899928716e-9
112120/dairies/us,economic & social/jobs/jobs,7.71837158638403e-6
112120/dairies/us,resource use/land/m2*yr,8.517801507926464
112120/dairies/us,chemical releases/metl/kg,6.60434910213538e-7
112120/dairies/us,resource use/mine/kg,0.34167174455325594
112120/dairies/us,resource use/nren/mj,7.912731660357069
112120/dairies/us,impact potential/ozon/kg cfc11 eq,1.158774571416781e-7
112120/dairies/us,chemical releases/pest/kg,1.0697334005073401e-4
112120/dairies/us,resource use/ren/mj,0.6996039353173333
112120/dairies/us,impact potential/smog/kg o3 eq,0.06908381790024225
112120/dairies/us,economic & social/vadd/$,1.1518118602072
112120/dairies/us,resource use/watr/m3,0.1800257302359647
1121a0/cattle ranches and feedlots/us,impact potential/acid/kg so2 eq,0.02818022709924304
1121a0/cattle ranches and feedlots/us,resource use/enrg/mj,7.486747907408828
1121a0/cattle ranches and feedlots/us,impact potential/etox/ctue,2.4800103991302755
1121a0/cattle ranches and feedlots/us,impact potential/eutr/kg n eq,0.007847936358642843
1121a0/cattle ranches and feedlots/us,impact potential/gcc/kg co2 eq,4.782413849697637
1121a0/cattle ranches and feedlots/us,chemical releases/haps/kg,1.367204930623186e-4
1121a0/cattle ranches and feedlots/us,impact potential/hc/ctuh,4.588442042709465e-10
1121a0/cattle ranches and feedlots/us,impact potential/hnc/ctuh,1.2584917886146753e-9
